 12
  0    cs221
  1    cs222
  2    cs223
  3    cs224
  4    cs295
  5    cs312
  6    cs320
  7    cs321
  8    cs335
  9    cs342
 10    cs350
 11    cs356
a_comment:_from__to_____metric__capacity
               0    1       1        1
               1    2       1        1
               0    3       1        1
               1    4       1        1
               2    5       1        1
               4    5       1        1
               0    6       1        1
               2    7       1        1
               2    8       1        1
               4    9       1        1
               2   10       1        1
               2   11       1        1
