 12
  0    cs221
  1    cs223
  2    cs224
  3    cs295
  4    ma201
  5    ma202
  6    ma203
  7    ma204
  8    ph221
  9    ph222
 10    ph223
 11    ph207
a_comment:_from__to_____metric__capacity
               0    1       1        1
               0    2       1        1
               0    3       1        1
	       4    5       1        1
	       5    6       1        1
	       6    7       1        1
	       4    8       1        1
	       5    9       1        1
	       8    9       1        1
	       9   10       1        1
	       9   11       1        1
	       5   11       1        1

