 file:hw01.cpp ,function:main ,line:44 start of logging
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
 file:hw01.cpp ,function:PrintArray ,line:36 end of function;
 file:hw01.cpp ,function:PrintArray ,line:15 start of function;
